אָב|<a>v|father
לְרַצּוֹת|leratz<o>t|to satisfy, to placate; to serve (time in prison)
רָצוֹן|ratz<o>n|desire, intent, will
רְצִינִי|retzin<i>|serious
רְצִינִי|retzin<i>|serious
מַרְצֵעַ|martz<e>a|awl, bodkin (tool)
לְרַצֵּף|leratz<e>f|to pave, to floor
רִיצּוּף|ritz<u>f|pavement, flooring
רִצְפָּה|ritzp<a>|floor, pavement, ground
רָצִיף|ratz<i>f|platform (railroad), quay, pier
רָצִיף|ratz<i>f|continuous, consecutive
לְרוֹצֵץ|lerotz<e>tz|to smash, to destroy, to shatter
רַק|r<a>k|only, just
לִרְקוֹב|lirk<o>v|to rot, to decompose (rare)
לְהֵירָקֵב|leherak<e>v|to rot, to decompose
רָקָב|rak<a>v|rot
רִיקָּבוֹן|rikav<o>n|decomposition, rotting
רָקוּב|rak<u>v|rotten
לְהַרְקִיב|lehark<i>v|to rot
לִרְקוֹד|lirk<o>d|to dance
לְרַקֵּד|lerak<e>d|to dance wildly
רִיקּוּד|rik<u>d|dance
רַקְדָן|rakd<a>n|dancer
רָקִיד|rak<i>d|dance (as in dance music), danceable
לְהַרְקִיד|lehark<i>d|to make someone dance, to lead a dance
לִרְקוֹחַ|lirk<o>ach|to concoct, to prepare (cosmetics, medicine)
לְהִתְרַקֵּם|lehitrak<e>m|to be formed, to develop
לְהֵירָקֵם|leherak<e>m|to be embroidered; to be planned
רִקְמָה|rikm<a>|tissue (biology); embroidery, tapestry
לִרְקוֹם|lirk<o>m|to embroider, to weave; to make plans
לְהַרְקִיעַ|lehark<i>a|to rise, to ascend
רָקִיעַ|rak<i>a|firmament, sky (lit.)
מִרְקָע|mirk<a>|screen (cinema, TV)
לְרַקֵּעַ|lerak<e>a|to flatten, to hammer out
רָקוּעַ|rak<u>a|hammered
לִרְקוֹעַ|lirk<o>a|to trample, to stomp (על); to stretch something (biblical)
רַקָּה|rak<a>|temple (anatomy)
לְהַרְשׁוֹת|leharsh<o>t|to allow, to permit
רָשׁוּת|rash<u>t|authority, administrative body
רְשׁוּת|resh<u>t|authorisation, permission; possession
רִישָּׁיוֹן|rishay<o>n|licence, permit
לְהִתְרַשֵּׁל|lehitrash<e>l|to be negligent
לְהֵירָשֵׁם|leherash<e>m|to be registered, to be noted; to subscribe
לְהִתְרַשֵּׁם|lehitrash<e>m|to be impressed
לְהַרְשִׁים|leharsh<i>m|to impress
הִתְרַשְּׁמוּת|hitrashm<u>t|impression
רִשְׁמִי|rishm<i>|official
הַרְשָׁמָה|harsham<a>|registration
תַּרְשִׁים|tarsh<i>m|sketch; diagram, scheme
רוֹשֶׁם|r<o>shem|impression
רְשִׁימָה|reshim<a>|list; note
לִרְשׁוֹם|lirsh<o>m|to note, to register; to draw, to sketch
לְהַרְשִׁיעַ|leharsh<i>a|to convict
רָשָׁע|rash<a>|villain, criminal
רֶשַׁע|r<e>sha|malice, evil
רִשְׁעָה|rish'<a>|evil, malice
הַרְשָׁעָה|harsha'<a>|conviction (court)
רֶשֶׁף|r<e>shef|flash, spark
לִרְשׁוֹף|lirsh<o>f|to spark (lit.)
לְרַשְׁרֵשׁ|lerashr<e>sh|to rustle
לְרוֹשֵׁשׁ|lerosh<e>sh|to impoverish
לְרוֹשֵׁשׁ|lerosh<e>sh|to ruin, to destroy, to impoverish (biblical)
רֶשֶׁת|r<e>shet|network, net
לִרְתּוֹחַ|lirt<o>ach|to boil
לְהַרְתִּיחַ|lehart<i>ach|to boil
לְהִתְרַתֵּחַ|lehitrat<e>ach|to boil with anger
לְרַתּוֹת|lerat<o>t|to pity, to mercy (talmudic); to be sympathetic to someone (lit.)
לְרַתֵּךְ|lerat<e>ch|to weld, to solder
לִרְתּוֹם|lirt<o>m|to bridle (an animal)
לְהֵירָתֵם|leherat<e>m|to be harnessed; to volunteer
לְהֵירָתֵעַ|leherat<e>a|to recoil, to flinch
לְהַרְתִּיעַ|lehart<i>a|to deter, to discourage; to frighten
מַרְתֵּף|mart<e>f|basement, cellar
לְרַתֵּק|lerat<e>k|to bind, to confine; to fascinate
לִשְׁאוֹב|lish'<o>v|to pump, to draw (liquid, gas)
לְהִישָּׁאֵב|lehisha'<e>v|to be pumped, to be drawn
מַשְׁאָב|mash'<a>v|resource
לִשְׁאוֹג|lish'<o>g|to shout, to roar
לִשְׁאוֹל|lish'<o>l|to ask; to borrow
לְהַשְׁאִיל|lehash'<i>l|to lend, to loan
לְהִישָּׁאֵל|lehisha'<e>l|to be asked; to be borrowed
שְׁאֵלָה|she'el<a>|question
הַשְׁאָלָה|hash'al<a>|metaphor; lending
מִשְׁאָל|mish'<a>l|survey, poll
שְׁאִילָה|she'il<a>|borrowing
לִשְׁאוֹף|lish'<o>f|to inhale; to aspire
לְהִישָּׁאֵף|lehisha'<e>f|to be inhaled
שְׁאִיפָה|she'if<a>|inhalation; aspiration, ambition
לְהִישָּׁאֵר|lehisha'<e>r|to remain
לְהַשְׁאִיר|lehash'<i>r|to leave, to keep
שְׁאָר|she'<a>r|remainder, the rest
שֶׁבַח|sh<e>vach|praise, eulogy
לְהַשְׁבִּיחַ|lehashb<i>ach|to improve, to upgrade
לְשַׁבֵּחַ|leshab<e>ach|to praise, to glorify
לְהִשְׁתַּבֵּחַ|lehishtab<e>ach|to brag, to boast; to be praised
לְשַׁבֵּט|leshab<e>t|to clone
לְהִישָּׁבוֹת|lehishav<o>t|to be captured, captivated
לִשְׁבּוֹת|lishb<o>t|to capture
שִׁיבּוֹלֶת|shib<o>let|ear (of grain)
שְׁבִיל|shv<i>l|path, trail
שְׂבִיעָה|svi'<a>|satiation (lit.)
לִשְׂבּוֹעַ|lisb<o>a|to be satiated
לְהִישָּׁבֵעַ|lehishav<e>a|to swear, to promise
לְהַשְׁבִּיעַ|lehashb<i>a|to take an oath (from someone)
שְׁבִיעִי|shvi'<i>|seventh
שְׁבוּעָה|shvu'<a>|oath, vow, promise
שָׁבוּעַ|shav<u>a|week
לְהַשְׂבִּיעַ|lehasb<i>a|to satiate, to satisfy
לְהִשְׁתַּבֵּץ|lehishtab<e>tz|to be integrated
מִשְׁבֶּצֶת|mishb<e>tzet|square (on a chessboard, on checkered cloth, etc.)
לְשַׁבֵּץ|leshab<e>tz|to embed; to assign (to a job, a class, etc.)
לְשַׁבֵּר|leshab<e>r|to shatter, to break
לִשְׁבּוֹר|lishb<o>r|to break, to shatter
לְהִישָּׁבֵר|lehishav<e>r|to be broken, to be fractured
מִשְׁבָּר|mishb<a>r|large wave, breaker
מַשְׁבֵּר|mashb<e>r|crisis; turning point
שֶׁבֶר|sh<e>ver|fraction (mathematics); break, fracture; fragment, shard
שָׁבִיר|shav<i>r|fragile
שָׁבוּר|shav<u>r|broken, fractured; depressed, despondent
לְהַשְׁבִּיר|lehashb<i>r|to sell the crop
לְהִשְׁתַּבֵּשׁ|lehishtab<e>sh|to be disrupted, to be hampered; to be confused
לְשַׁבֵּשׁ|leshab<e>sh|to disrupt, to garble, to distort
לְהַשְׁבִּית|lehashb<i>t|to stop working, to strike
שְׁבִיתָה|shvit<a>|strike (stopping from work)
שַׁבָּת|shab<a>t|Saturday, Sabbath, day of rest
לִשְׁבּוֹת|lishb<o>t|to stop working, to strike
שְׁגִיאָה|shgi'<a>|error, mistake
נִשְׂגָּב|nisg<a>v|lofty, exalted
לִשְׁגּוֹג|lishg<o>g|to err, to sin unintentionally (Judaism)
לְהַשְׁגִּיחַ|lehashg<i>ach|to supervise
הַשְׁגָּחָה|hashgach<a>|supervision
לִשְׁגּוֹת|lishg<o>t|to err, to make a mistake
שָׁגוּי|shag<u>y|wrong, erroneous, mistaken
שִׁיגָּיוֹן|shigay<o>n|quirk, whim, caprice (lit.)
מְשׁוּגָּע|meshug<a>|crazy, mad
לְהִשְׁתַּגֵּעַ|lehishtag<e>a|to go crazy, to get mad
לְשַׁגֵּעַ|leshag<e>a|to render crazy, to madden
שִׁיגָּעוֹן|shiga'<o>n|madness, craziness; quirk
לְשַׁגֵּר|leshag<e>r|to send, to dispatch; to launch (a rocket)
שַׁגְרִיר|shagr<i>r|ambassador, envoy, emissary
שַׁגְרִירוּת|shagrir<u>t|embassy
לְשַׂגְשֵׂג|lesags<e>g|to flourish, to prosper
שׁוֹד|sh<o>d|robbery, burglary
לִשְׁדּוֹד|lishd<o>d|to rob, to plunder
לְהִישָּׁדֵד|lehishad<e>d|to be robbed, to be plundered
שָׂדֶה|sad<e>|field
לְשַׁדֵּךְ|leshad<e>ch|to pair, to act as matchmaker
שַׁדְכָן|shadch<a>n|matchmaker; stapler (coll.)
לְהִשְׁתַּדֵּךְ|lehishtad<e>ch|to be matched with someone (עם); to court, to seek marriage (אל); to hook up with someone (עם)
לְשַׁדֵּל|leshad<e>l|to persuade, to lobby; to seduce
לְהִשְׁתַּדֵּל|lehishtad<e>l|to make efforts; to lobby
לְשַׁדֵּר|leshad<e>r|to transmit, to broadcast
מַשְׁדֵּר|mashd<e>r|transmitter (radio, etc.)
מִשְׁדָּר|mishd<a>r|transmission, broadcast (radio, TV, etc.)
לְשַׁדְרֵג|leshadr<e>g|to upgrade
לְהִשְׁתַּדְרֵג|lehishtadr<e>g|to get upgraded
שֶׂה|s<e>|lamb (male)
לִשְׁהוֹת|lishh<o>t|to stay, to spend time
לְהַשְׁהוֹת|lehashh<o>t|to delay, to postpone
לְהִשְׁתַּהוֹת|lehishtah<o>t|to be delayed, to be late
הַשְׁהָיָה|hashhay<a>|delay, postponement
לְשַׁהֵק|leshah<e>k|to hiccup
מִשְׁווָאָה|mishva'<a>|equation
הַשְׁווָאָה|hashva'<a>|comparison; equalisation
לְהָשִׁיב|lehash<i>v|to return (something); to reply
תְּשׁוּבָה|tshuv<a>|answer, reply; solution (to a problem); repentance
מָשׁוֹב|mash<o>v|feedback
שׁוּב|sh<u>v|again
לְהִשְׁתּוֹבֵב|lehishtov<e>v|to misbehave, to be mischevious
שִׁיבָה|shiv<a>|return, homecoming
לָשׁוּב|lash<u>v|to return; to do again
לָשׂוּחַ|las<u>ach|to stroll, to walk (lit.)
לָשׁוּחַ|lash<u>ach|to be bent, to be hunched (lit.)
שִׁיטָה|shit<a>|method, approach
לָשׁוּט|lash<u>t|to float, to row
לְשׁוֹטֵט|leshot<e>t|to stray, to wander around
לְהָשִׁיט|lehash<i>t|to float (something); to transport by water
לְהִשְׁתַּוּוֹת|lehishtav<o>t|to become equal; to reach a compromise
לִשְׁווֹת|lishv<o>t|to be equal, to match (ב־, ל־)
לְהַשְׁווֹת|lehashv<o>t|to compare; to make equal
לְשַׁוּוֹת|leshav<o>t|to give (an appearance)
שׁוּלְחָן|shulch<a>n|table
שׁוּלַייִם|shul<a>yim|margins; brim (of clothing, hat)
לְשַׁווֵּעַ|leshav<e>a|to yearn, to implore, to need desperately (lit.)
לָשׁוּף|lash<u>f|to crush, to trample (biblical)
לְהַשְׁווִיץ|lehashv<i>tz|to boast (coll.)
לְשַׁווֵּק|leshav<e>k|to market, to sell
שׁוּק|sh<u>k|market
שׁוֹר|sh<o>r|ox; Taurus
תְּשׁוּרָה|tshur<a>|gift, present
לָשׁוּר|lash<u>r|to behold, to look (poetic)
לְהִשְׁתַּזֵּף|lehishtaz<e>f|to sunbathe, to tan
לִשְׁזוֹף|lishz<o>f|to tan, to bronze; to gaze, to stare at (לשזוף עיניים ב־)
לִשְׁזוֹר|lishz<o>r|to weave
לְשַׁחֵד|leshach<e>d|to bribe
שׁוֹחַד|sh<o>chad|bribe
לְהִשְׁתַּחֲווֹת|lehishtachav<o>t|to bow, to bow down, to worship (ל-)
לְהַשְׁחִיז|lehashch<i>z|to sharpen, to grind
לְשַׁחְזֵר|leshachz<e>r|to reconstruct, to restore
לִשְׁחוֹט|lishch<o>t|to slaughter, to butcher
לְהִישָּׁחֵט|lehishach<e>t|to be slaughtered, to be butchered
לִשְׁחוֹת|lishch<o>t|to bow down, to stoop, to bend over (lit.)
לִשְׂחוֹת|lisch<o>t|to swim
שַׂחְייָן|sachy<a>n|swimmer
מִשְׂחֶה|misch<e>|heat (swimming)
לְהִשְׁתַּחֵל|lehishtach<e>l|to squeeze one's way through (coll.)
לְהַשְׁחִיל|lehashch<i>l|to insert (a thread into a needle), to put (beads) on a string
שָׁחוּם|shach<u>m|dark-skinned
לְהַשְׁחִים|lehashch<i>m|to tan; to become brown (baking, cooking)
שַׁחֶפֶת|shach<e>fet|tuberculosis
שַׁחַץ|sh<a>chatz|arrogance, haughtiness (lit.)
שַׁחְצָן|shachtz<a>n|braggart, boastful person
לְשַׂחֵק|lesach<e>k|to play (a game); to play a role
לִשְׁחוֹק|lishch<o>k|to erode, to wear
לְהִישָּׁחֵק|lehishach<e>k|to be eroded, worn down
מִשְׂחָק|misch<a>k|game
שַׂחְקָן|sachk<a>n|player; actor
לְהַשְׁחִיר|lehashch<i>r|to blacken, to tarnish
הַשְׁחָרָה|hashchar<a>|blackening, tarnishing
שָׁחוֹר|shach<o>r|black
שַׁחַר|sh<a>char|dawn, sunrise
לְשַׁחֵר|leshach<e>r|to seek, to chase (ל־) (rare)
לְהִשְׁתַּחְרֵר|lehishtachr<e>r|to be freed, to be released
לְשַׁחְרֵר|leshachr<e>r|to free, to release
שִׁיחְרוּר|shichr<u>r|liberation
לְהִישָּׁחֵת|lehishach<e>t|to be spoiled (morally)
לְהַשְׁחִית|lehashch<i>t|to damage, to destroy; to corrupt
לְשַׁחֵת|leshach<e>t|to corrupt, to ruin; to destroy
לִשְׁטוֹחַ|lisht<o>ach|to spread; to present, to explicate (lit.)
שֶׁטַח|sh<e>tach|area; territory
שָׁטִיחַ|shat<i>ach|carpet, rug
לְהִשְׁתַּטֵּחַ|lehishtat<e>ach|to get down, to prostrate oneself; to be flattened
שָׁטוּחַ|shat<u>ach|flat; spread, stretched
לְהִשְׁתַּטּוֹת|lehishtat<o>t|to act like a fool; to go crazy (lit.)
לְשַׁטּוֹת|leshat<o>t|to make fun of, to ridicule (lit.)
שְׁטוּת|sht<u>t|stupidity, (in plural) nonsense
שׁוֹטֶה|shot<e>|foolish, idiotic; fool (when used as a noun)
לִשְׁטוֹף|lisht<o>f|to wash, to rinse
לְהִישָּׁטֵף|lehishat<e>f|to be washed; to be washed away
שִׁיטָּפוֹן|shitaf<o>n|flood, inundation
מִשְׁטָר|misht<a>r|policy, rule
שׁוֹטֵר|shot<e>r|policeman
מִשְׁטָרָה|mishtar<a>|police
לְשַׁטֵּר|leshat<e>r|to patrol, to police
שְׁטְרוּדֶל|shtr<u>del|at mark (@), strudel
שֵׂיָה|sey<a>|lamb (female)
לָשִׂיחַ|las<i>ach|to say, to tell (lit.)
לְהָשִׂיחַ|lehas<i>ach|to converse, to talk (lit.)
לְשׂוֹחֵחַ|lesoch<e>ach|to converse, to talk, to chat
שִׂיחָה|sich<a>|conversation
לְשַׁייֵּט|leshay<e>t|to sail, to travel by sea, to drift
שַׁייָּט|shay<a>t|sailor, yachtsman
שִׁיּוּט|shiy<u>t|sailing, boating, drifting
לְשַׁייֵּךְ|leshay<e>ch|to ascribe, to attribute
לְהִשְׁתַּייֵּךְ|lehishtay<e>ch|to belong
שַׁייָּךְ|shay<a>ch|belonging to someone/something (ל־), relevant
לָשִׂים|las<i>m|to put, to put on
לְהָשִׂים|lehas<i>m|to place, to put; to turn something into something
מְשִׂימָה|mesim<a>|mission, task
הֲשָׂמָה|hasam<a>|placement, assignment; recruitment
לְשַׁייֵּף|leshay<e>f|to polish, to smooth, to file
לָשִׁיר|lash<i>r|to sing
לְשׁוֹרֵר|leshor<e>r|to write poetry
מוּשָׁר|mush<a>r|to be sung
שִׁיר|sh<i>r|song; poem
שִׁירָה|shir<a>|poetry, verse; singing
לָשׂוּשׂ|las<u>s|to rejoice (lit.)
שִׁישִּׁי|shish<i>|sixth
לְהָשִׁית|lehash<i>t|to impose (limitations, penalties)
לָשִׁית|lash<i>t|to put, to place (archaic)
לִשְׁכַּב|lishk<a>v|to lie, to lie down
מִשְׁכָּב|mishk<a>v|bed, couch (lit.); sexual intercourse (in idioms)
לְהַשְׁכִּיב|lehashk<i>v|to lay down, to put to bed
שִׁכְבָה|shichv<a>|layer; level
לִשְׁכּוֹחַ|lishk<o>ach|to forget
שָׁכִיחַ|shach<i>ach|common, frequent, widespread
לְהִישָּׁכֵחַ|lehishach<e>ach|to be forgotten
לְהַשְׁכִּיחַ|lehashk<i>ach|to cause to forget, to condemn to oblivion
לְהִשְׁתַּכֵּחַ|lehishtak<e>ach|to be forgotten
שְׁכִיחוּת|shchich<u>t|prevalence, incidence
לָשׁוֹךְ|lash<o>ch|to subside, to calm down (lit.)
לְשַׁכֵּךְ|leshak<e>ch|to quell, to allay (fear, pain) (lit.)
לִשְׁכּוֹל|lishk<o>l|to be bereaved, to have one's children die
לְהַשְׂכִּיל|lehask<i>l|to study, to learn; to succeed (in doing something)
שֵׂכֶל|s<e>chel|intellect, intelligence, wit, reason
שַׁכּוּל|shak<u>l|bereaved, one who lost one's children or relatives
שְׂכַלְתָּן|schalt<a>n|rationalist
לְשַׁכְלֵל|leshachl<e>l|to improve, to enhance
לְהִשְׁתַּכְלֵל|lehishtachl<e>l|to develop, to become more sophisticated
מְשׁוּכְלָל|meshuchl<a>l|regular (polygon, etc.); improved, enhancement
שִׁיכְלוּל|shichl<u>l|improvement, enhancement
הִשְׁתַּכְלְלוּת|hishtachlel<u>t|improvement, enhancement, advancement
לְהַשְׁכִּים|lehashk<i>m|to get up early
לִשְׁכּוֹן|lishk<o>n|to dwell, to reside
לְהַשְׁכִּין|lehashk<i>n|to impose, to move someone in
לְהִשְׁתַּכֵּן|lehishtak<e>n|to settle, to reside
שָׁכֵן|shach<e>n|neighbouring
שְׁכוּנָה|shchun<a>|neighbourhood, district
מִשְׁתַּכֵּן|mishtak<e>n|new resident
לְשַׁכֵּן|leshak<e>n|to house, to accommodate
לְשַׁכְנֵעַ|leshachn<e>a|to convince, to persuade
לְהִשְׁתַּכְנֵעַ|lehishtachn<e>a|to become convinced, persuaded
לְשַׁכְפֵּל|leshachp<e>l|to copy
לִשְׂכּוֹר|lisk<o>r|to rent, to hire
לְהִישָּׂכֵר|lehisach<e>r|to be hired, to be employed, to be rented
לְהַשְׂכִּיר|lehask<i>r|to rent, to let (a property)
לְהִשְׂתַּכֵּר|lehistak<e>r|to earn
מַשְׂכּוֹרֶת|mask<o>ret|salary
הַשְׂכָּרָה|haskar<a>|rental, lease
שְׂכִירָה|schir<a>|rental, lease, hiring
שָׂכָר|sach<a>r|payment; salary, wage
לְהִשְׁתַּכֵּר|lehishtak<e>r|to get drunk
לְהַשְׁכִּישׁ|lehashk<i>sh|to dangle; to paddle, to wade
לְהִשְׁתַּכְשֵׁךְ|lehishtachsh<e>ch|to paddle, to wade
לְשַׁכְשֵׁךְ|leshachsh<e>ch|to dangle (feet); to paddle, to wade
לְשַׁכְתֵּב|leshacht<e>v|to rewrite
שֶׁל|sh<e>l|of, belonging to
לְשַׁלֵּב|leshal<e>v|to combine, to integrate
תִּשְׁלוֹבֶת|tishl<o>vet|complex (industry, economics); gearing (mechanics)
שָׁלָב|shal<a>v|stage, phase; step
מִשְׁלָב|mishl<a>v|register, style (linguistics)
שִׁילּוּב|shil<u>v|combination, integration
לְהִשְׁתַּלֵּב|lehishtal<e>v|to become integrated, to fit together
שֶׁלֶג|sh<e>leg|snow
מוּשְׁלָג|mushl<a>g|snowy, snow-covered
לְשַׁלְהֵב|leshalh<e>v|to ignite, to spark; to inspire
שַׁלְהֶבֶת|shalh<e>vet|flame, tongue of fire
לְהִשְׁתַּלְהֵב|lehishtalh<e>v|to be sparked, to be ignited
שַׁלְווָה|shalv<a>|calm, serenity
שָׁלֵו|shal<e>v|calm, peaceful
לְהִישָּׁלֵחַ|lehishal<e>ach|to be sent, to be dispatched
לְהִשְׁתַּלֵּחַ|lehishtal<e>ach|to lash out (on someone) (ב-)
שָׁלוּחַ|shal<u>ach|sent, dispatched; stretched out, spread out (arm, leg, etc.)
לִשְׁלוֹחַ|lishl<o>ach|to send, to dispatch
לְשַׁלֵּחַ|leshal<e>ach|to release, to dismiss, to send away (lit.)
שָׁלִיחַ|shal<i>ach|emissary, envoy; delivery person
לִשְׁלוֹט|lishl<o>t|to rule, to govern
